2014-10-03 14:18:28,280 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 26] Content 'Начало' with Id '1068' has been published.
2014-10-03 14:18:31,578 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 46] Content '1' with Id '1068' has been published.
2014-10-03 14:18:44,833 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 23] Content 'asd' with Id '1068' has been published.
2014-10-03 14:18:53,728 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 23] Content 'asd' with Id '1068' has been published.
2014-10-03 14:19:32,696 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 43] Content 'asd' with Id '1068' has been published.
2014-10-03 14:19:47,474 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 50] Content 'Начало' with Id '1068' has been published.
2014-10-03 14:21:14,639 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 22] Content 'Контакти' with Id '1096' has been published.
2014-10-03 14:21:21,203 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 39] Content 'Дейност' with Id '1081' has been published.
2014-10-03 14:22:20,626 [6] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 36] Content 'Начало' with Id '1068' has been published.
2014-10-03 14:23:20,597 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2014-10-03 14:23:20,606 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 7ms)
2014-10-03 14:23:20,611 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-10-03 14:23:20,622 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 35 (took 10ms)
2014-10-03 14:23:20,691 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2014-10-03 14:23:20,692 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2014-10-03 14:23:20,692 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2014-10-03 14:23:20,754 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 17 (took 61ms)
2014-10-03 14:23:20,768 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2014-10-03 14:23:20,768 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
